"module","module_size","overlap","p","FDR","genes"
"216","175","3","0.21453","0.68709","CCDC167;SNRPD2;LYRM4"
"91","95","2","0.21472","0.68709","ARVCF;SYNPO2"
"7","634","8","0.22360","0.69633","IL1RN;WLS;SSFA2;IL6R;PILRA;ABHD2;CDC123;PAK1"
"5","100","2","0.23146","0.69633","CDC123;ANAPC13"
"14","4424","45","0.23416","0.69633","VSNL1;MSL2;ITGA1;ZNF235;SSFA2;GEN1;N4BP2L2;TRIM58;OR2W3;EDNRA;SCAPER;POC1B;ARHGAP42;C6orf106;PDE3A;SMC6;FAM114A1;DGKH;NGRN;FHL5;ZNF514;ARHGAP26;CALCRL;CEP63;DIRC3;ICA1L;REST;CSNK1G3;PAK1IP1;ZNF827;ATP2B1;PDE8A;NCK1;TAF1A;FAM171B;SEMA5A;ZNF24;FER;NOC3L;ZKSCAN1;SLC5A3;PDE5A;LINC00310;FAM117B;PDZD8"
"121","1040","12","0.24207","0.69633","AOC1;KCNJ13;SDK2;KIAA1324;COL7A1;PREX1;DIRC3;CYFIP2;CDH13;SORT1;TARID;NDE1"
"202","459","6","0.24246","0.69633","GGCX;VAMP5;RPL7A;IL20RB;RPL13;SNRPC"
"125","104","2","0.24492","0.69633","SARS;PSMA5"
"64","31","1","0.24720","0.69633","WNT3"
"217","1954","21","0.24753","0.69633","KCNJ13;SCAPER;GGCX;FAM171B;CEP63;FBN2;CYP4F11;SSFA2;REST;SMC6;GOSR2;CYP20A1;CFHR1;FER;CFDP1;SF3A3;ATP2B1;IL6R;NOC3L;PRSS12;M6PR"
"181","189","3","0.24814","0.69633","RPL7P3;PPP2R1B;PDZD8"
"116","278","4","0.24869","0.69633","TWIST1;DNALI1;LPL;AOC4P"
"16","958","11","0.25957","0.70002","DRG2;ANKRD13B;BMP1;ARVCF;ARNT;PEPD;DMPK;ATP2B1;M6PR;NYAP1;EXOSC5"
"197","194","3","0.26034","0.70002","PCAT19;THG1L;TRIM58"
"26","377","5","0.26133","0.70002","C6orf106;ZNF235;SUMO4;ZNF514;LINC00987"
"122","763","9","0.26251","0.70002","CTSH;VAMP8;PILRA;TARID;LINC01480;SUSD1;MAFB;BTBD16;M6PR"
"195","198","3","0.27016","0.70876","TPO;PCAT19;ST6GALNAC1"
"171","200","3","0.27508","0.70876","ADAMTS7;SDK2;LLGL1"
"206","113","2","0.27528","0.70876","TPO;PCAT19"
"65","114","2","0.27865","0.70929","PPP2R1B;LPL"
"117","389","5","0.28214","0.71011","SNHG18;CYP20A1;RPL7A;SNRPD2;LYRM4"
"58","205","3","0.28743","0.71538","TRIM5;C12orf43;PAK1IP1"
"199","9373","90","0.29514","0.72650","WLS;SSFA2;SIDT2;AOC4P;MAFB;FURIN;MRGPRF-AS1;ADAMTS7;POC1B;SUSD1;CTSH;WDR6;RPL7P14;IGHMBP2;ATP2B1;LPA;INPP5B;COL7A1;BMP1;LINC01480;DIXDC1;PAK1;IL20RB;KATNA1;SFXN2;PCDHB9;PILRB;NGRN;PPP1R9B;PDLIM4;PRSS12;STAG3;PCAT19;ZNF24;MAP1S;PAK1IP1;EPS15L1;KLRG1;BCAM;LINC01137;EFCAB5;LINC01197;DMWD;ANKRD13B;VSNL1;SEC14L6;CDKN2B-AS1;PSTPIP1;BTBD16;PTX3;PDE3A;CYP17A1-AS1;TCF21;CCDC36;CELSR2;SRR;MXRA7;TAF1A-AS1;TAF1A;NUP210L;TPCN2;PGPEP1;PDE4C;HAPLN3;STAG3L5P;GEN1;VEPH1;LOXL4;FAM171B;ARHGAP42;TWIST1;MYBPHL;OLFM5P;RAI1;FOLH1;DIRC3;ADGRF3;FBN2;MCM6;PRKCZ;SUFU;ENGASE;RPL12P16;NIPAL4;NCK1;RNF123;VWDE;TUBG2;TOM1L2;M6PR"
"136","699","8","0.30688","0.73065","BORCS7;DBH;PSRC1;TMEM91;IL6R;EDNRA;C12orf43;FDX1"
"6","1105","12","0.30876","0.73065","GID4;CYP2C8;CYFIP2;CYP4F11;FAM117B;ARNT;ARHGAP26;AMIGO1;CYP4F2;TRIM5;MAFB;ST6GALNAC1"
"118","214","3","0.30975","0.73065","ARL3;PCMT1;C11orf1"
"218","2246","23","0.31083","0.73065","KCNE2;IL20RB;CDKN2B-AS1;PCDHB9;APOE;TWIST1;OLFM5P;FAM114A1;SLC22A3;KCNJ13;STAG3;ADGRF3;FBN2;CELSR2;MRGPRF;IL6R;TAF1A-AS1;NUP210L;FOLH1;LINC01480;SYNPO2;GOSR2;LINC01197"
"90","41","1","0.31313","0.73065","SRP68"
"165","708","8","0.31896","0.73656","SCAPER;LLGL1;CEP63;NOC3L;PEPD;SMC6;N4BP2L2;FER"
"152","44","1","0.33177","0.74038","GOSR2"
"138","44","1","0.33177","0.74038","PPP1R9B"
"35","223","3","0.33213","0.74038","CSNK1G3;REST;PDZD8"
"187","320","4","0.33383","0.74038","WDR6;DMWD;PGPEP1;ENGASE"
"169","228","3","0.34456","0.75668","SDK2;NIPAL4;LINC01480"
"102","1676","17","0.36003","0.78119","DCPS;WDR6;INPP5B;BMP1;CYP4F11;WDR86;PILRB;SREBF1;IGHMBP2;TANGO2;DMPK;DIXDC1;ENGASE;PDE4C;RNF123;ATXN7L2;FES"
"103","334","4","0.36269","0.78119","ZKSCAN1;N4BP2L2;SLC5A3;SMC6"
"224","147","2","0.38800","0.80008","CENPW;MCM6"
"72","56","1","0.40140","0.80008","MSL2"
"128","56","1","0.40140","0.80008","CNNM2"
"23","355","4","0.40586","0.80008","ARVCF;BCAM;GSK3A;FURIN"
"166","1619","16","0.40595","0.80008","C11orf1;IL20RB;TPCN2;MSL2;PPP1R1C;RRP1B;PTX3;GSTM3;INPP5B;FCHO1;WDR86;PDE4C;PPP2R1B;SRD5A1;PNMA2;PDE8A"
"133","57","1","0.40687","0.80008","FCHO1"
"12","57","1","0.40687","0.80008","DPYSL2"
"17","57","1","0.40687","0.80008","RRP1B"
"48","57","1","0.40687","0.80008","DGKH"
"210","153","2","0.40718","0.80008","IL1RN;KIAA1324"
"57","256","3","0.41347","0.80538","PILRA;PSTPIP1;PREX1"
"173","157","2","0.41981","0.81067","SRP68;SNHG8"
"146","61","1","0.42824","0.81216","AP4M1"
"87","791","8","0.43290","0.81216","MSL2;ARHGAP42;ZKSCAN1;UHRF1BP1;ARHGAP26;PDZD8;SLC5A3;ZNF827"
"30","372","4","0.44041","0.81216","GDPGP1;ZNF235;SCAPER;ZNF827"
"163","64","1","0.44376","0.81216","UBE2Z"
"51","269","3","0.44474","0.81216","VWDE;IL1RN;SYPL2"
"144","166","2","0.44771","0.81216","SRR;CNNM2"
"139","65","1","0.44884","0.81216","OTOF"
"155","1018","10","0.44988","0.81216","ZKSCAN1;CDH13;PCDHB9;FAM114A1;USP10;UHRF1BP1;ZNF827;DIXDC1;ABHD2;ARHGAP26"
"161","66","1","0.45387","0.81216","HAPLN3"
"191","169","2","0.45684","0.81216","CNNM2;NT5C2"
"194","68","1","0.46380","0.81804","OTOF"
"156","73","1","0.48785","0.84868","CAMK1D"
"220","74","1","0.49253","0.84868","SORT1"
"85","1381","13","0.49254","0.84868","TAF1A-AS1;WNT3;FAM171B;SEMA5A;TPO;DIRC3;ADGRF3;CDKN2B-AS1;LAYN;PCDHGB6;LINC00310;ST6GALNAC1;STAG3L5P"
"127","75","1","0.49716","0.85008","VAMP8"
"211","184","2","0.50115","0.85008","C11orf1;ARL3"
"167","2051","19","0.50474","0.85008","GID4;ICA1L;C6orf106;SYPL2;PDE4C;LAYN;STAG3;SF3A3;PCMT1;IPO9;FAM114A1;FHL3;TARID;PCDHGB6;SYNPO2;TRIM63;TRIM4;ZNF514;TANGO2"
"55","190","2","0.51822","0.86235","USP10;UHRF1BP1"
"126","80","1","0.51972","0.86235","NGRN"
"185","202","2","0.55117","0.90781","PNMA2;CAMK1D"
"63","93","1","0.57375","0.93811","BMP1"
"11","1015","9","0.58027","0.94188","VEPH1;GSTM3;PDE3A;TMEM91;PCMT1;CHST8;SUSD1;TSPAN9;PDE5A"
"67","96","1","0.58534","0.94328","SUSD1"
"32","336","3","0.59294","0.94518","ABHD2;SMAD3;IPO9"
"134","337","3","0.59495","0.94518","LINC01137;NAGLU;QPCTL"
"47","462","4","0.60926","0.96108","SARS;LLGL1;TRIM4;CELSR2"
"105","109","1","0.63201","0.98313","CYFIP2"
"76","109","1","0.63201","0.98313","MXRA7"
"204","112","1","0.64202","0.99181","PDGFD"
"192","122","1","0.67345","1.0000","ARL3"
"104","125","1","0.68234","1.0000","SRP68"
"223","125","1","0.68234","1.0000","ANAPC13"
"182","126","1","0.68524","1.0000","HTRA1"
"159","260","2","0.68755","1.0000","EXTL1;RNF123"
"145","129","1","0.69381","1.0000","LINC00310"
"106","395","3","0.70037","1.0000","FAM213A;LPL;LRFN5"
"170","273","2","0.71302","1.0000","FAM114A1;CYFIP2"
"113","141","1","0.72580","1.0000","ST6GALNAC1"
"193","142","1","0.72831","1.0000","CYP3A7"
"107","415","3","0.73151","1.0000","SRR;PPP1R1C;LINC01480"
"201","416","3","0.73300","1.0000","DGKH;RPL7A;RPL13"
"8","5920","50","0.74855","1.0000","VSNL1;ITGA1;ZNF235;WLS;SSFA2;SUMO4;GEN1;N4BP2L2;SFXN2;MAFB;BTBD16;LINC00933;BORCS7;SCAPER;LOXL4;POC1B;PDE3A;SMC6;DGKH;GOSR2;FHL5;SRD5A1;TCF21;ZNF514;LINC00987;PDGFD;CEP63;DIRC3;ICA1L;REST;SRR;ZNF24;FER;TVP23B;ATP2B1;IP6K2;NCK1;TAF1A;FAM171B;CSNK1G3;NOC3L;OTOF;SLC22A5;TARID;PDE5A;EFCAB5;SARS;LINC01197;LMOD1;STAG3L5P"
"175","567","4","0.76165","1.0000","SRR;CNNM2;NBEAL1;RPL7P14"
"131","157","1","0.76333","1.0000","PDGFD"
"174","439","3","0.76548","1.0000","PILRA;FCHO1;IL1RN"
"183","166","1","0.78215","1.0000","SLC22A5"
"222","175","1","0.79947","1.0000","KLRG1"
"37","176","1","0.80131","1.0000","AOC1"
"89","331","2","0.80629","1.0000","NBEAL1;PDZD8"
"33","347","2","0.82680","1.0000","IL1RN;NUP210L"
"147","192","1","0.82854","1.0000","NDE1"
"186","206","1","0.84929","1.0000","PHYHIP"
"49","209","1","0.85340","1.0000","CAMK1D"
"61","209","1","0.85340","1.0000","PSMA5"
"68","223","1","0.87115","1.0000","KATNA1"
"119","252","1","0.90140","1.0000","POC1B"
"79","790","4","0.93147","1.0000","ZNF24;TAF11;C6orf106;CYP2C8"
"86","301","1","0.93730","1.0000","IRS2"
"135","1369","7","0.96841","1.0000","GID4;BORCS7;CYP20A1;USP10;TVP23B;FDX1;CFDP1"
"15","2476","15","0.96859","1.0000","TAF1A-AS1;IL1RN;LOXL4;VSNL1;WNT3;ADGRF3;SRP68;FCHO1;NT5C2;POLR3D;UBE2Z;NDE1;FAM117B;HTRA1;HAPLN3"
"84","413","1","0.97779","1.0000","TRIM58"
"101","430","1","0.98103","1.0000","PCDHGB6"
"120","792","2","0.99454","1.0000","NDE1;KCNJ13"
"209","4614","26","0.99838","1.0000","KCNJ13;CDH13;MFGE8;SUMO4;WDR86;TDRD15;LOXL4;ARHGAP42;ANAPC13;TUBG2;NGRN;PDLIM4;BRCA2;MRPS6;PRSS12;CCDC36;IP6K2;CYP17A1-AS1;NIPSNAP1;CNNM2;NUP210L;VAMP8;POLR3D;UBE2Z;BLMH;EFCAB5"
"203","50","0","1.0000","1.0000",""
"94","125","0","1.0000","1.0000",""
"93","49","0","1.0000","1.0000",""
"221","44","0","1.0000","1.0000",""
"46","46","0","1.0000","1.0000",""
"215","100","0","1.0000","1.0000",""
"71","205","0","1.0000","1.0000",""
"3","115","0","1.0000","1.0000",""
"75","95","0","1.0000","1.0000",""
"212","54","0","1.0000","1.0000",""
"54","119","0","1.0000","1.0000",""
"2","64","0","1.0000","1.0000",""
"52","119","0","1.0000","1.0000",""
"100","29","0","1.0000","1.0000",""
"96","41","0","1.0000","1.0000",""
"142","177","0","1.0000","1.0000",""
"62","38","0","1.0000","1.0000",""
"132","121","0","1.0000","1.0000",""
"130","31","0","1.0000","1.0000",""
"149","192","0","1.0000","1.0000",""
"129","66","0","1.0000","1.0000",""
"25","66","0","1.0000","1.0000",""
"124","43","0","1.0000","1.0000",""
"24","80","0","1.0000","1.0000",""
"115","121","0","1.0000","1.0000",""
"157","16","0","1.0000","1.0000",""
"160","138","0","1.0000","1.0000",""
"22","83","0","1.0000","1.0000",""
"164","52","0","1.0000","1.0000",""
"111","68","0","1.0000","1.0000",""
"42","41","0","1.0000","1.0000",""
"109","41","0","1.0000","1.0000",""
"43","99","0","1.0000","1.0000",""
"172","75","0","1.0000","1.0000",""
"21","14","0","1.0000","1.0000",""
"18","116","0","1.0000","1.0000",""
"179","46","0","1.0000","1.0000",""
"34","206","0","1.0000","1.0000",""
"99","67","0","1.0000","1.0000",""
"44","128","0","1.0000","1.0000",""
"97","99","0","1.0000","1.0000",""
"188","36","0","1.0000","1.0000",""
"95","108","0","1.0000","1.0000",""
"143","70","0","1.0000","1.0000",""